job_title,company_name,salary_from,salary_to,currencyCode,area,link,source
Python Backend разработчик (AI Telegram Chatbots),Половинко Константин Валерьевич,250000.0,300000.0,RUR,Москва,https://hh.ru/vacancy/127789306,hh.ru
Преподаватель Python в онлайн-школу программирования,IT школа Hello World,50000.0,,RUR,Краснодар,https://hh.ru/vacancy/128277607,hh.ru
Senior Python Developer,evrone.ru,,340000.0,RUR,Москва,https://hh.ru/vacancy/128284310,hh.ru
Junior / Pre-middle Python Developer,Шлыков Станислав Игоревич,50000.0,80000.0,RUR,Оренбург,https://hh.ru/vacancy/128514154,hh.ru
Senior Python Developer в Cybersecurity core team,METASCAN,,400000.0,RUR,Москва,https://hh.ru/vacancy/127540709,hh.ru
Инженер DevSecOps,Linde,120000.0,180000.0,RUR,Тольятти,https://hh.ru/vacancy/127461974,hh.ru
Инженер DevSecOps,Linde,120000.0,180000.0,RUR,Нижний Тагил,https://hh.ru/vacancy/127461975,hh.ru
Senior Python Developer в Cybersecurity core team,METASCAN,,400000.0,RUR,Москва,https://hh.ru/vacancy/127540709,hh.ru
Senior Python разработчик,СмартБрик,250000.0,,RUR,Москва,https://hh.ru/vacancy/127879731,hh.ru
Python-разработчик,Фитбейс,60000.0,100000.0,RUR,Москва,https://hh.ru/vacancy/127433763,hh.ru
"Преподаватель Python, Scratch в онлайн-школу программирования",IT школа Hello World,50000.0,,RUR,Нижний Новгород,https://hh.ru/vacancy/128277608,hh.ru
Python-разработчик,ИЦ АЙ-ТЕКО,,150000.0,RUR,Москва,https://hh.ru/vacancy/126276942,hh.ru
Python backend developer,Ритейл-Процессинг,280000.0,300000.0,RUR,Москва,https://hh.ru/vacancy/127862909,hh.ru
Middle Python developer (Django/FastAPI) AdTech (в офисе),Hyper AdTech,170000.0,200000.0,RUR,Москва,https://hh.ru/vacancy/127670091,hh.ru
Junior Python программист (DataMining),BRANDPOL,50000.0,80000.0,RUR,Екатеринбург,https://hh.ru/vacancy/128062531,hh.ru
Python-разработчик,Мир,140000.0,160000.0,RUR,Москва,https://hh.ru/vacancy/127865214,hh.ru
Python-разработчик (Middle+/Senior),30 БИТ,200000.0,,RUR,Москва,https://hh.ru/vacancy/127749004,hh.ru
Lead Python Engineer (Core & Architecture),Эйчар Рокет,300000.0,,RUR,Москва,https://hh.ru/vacancy/128506685,hh.ru
Python AQA Engineer (Нагрузочное тестирование),Enjoypro,180000.0,210000.0,RUR,Санкт-Петербург,https://hh.ru/vacancy/128283072,hh.ru
"Преподаватель IT дисциплин в Компьютерной Академии (С++, Python, Москва Сокол)",Компьютерная академия TOP (Компьютерная Академия ТОП),40000.0,120000.0,RUR,Москва,https://hh.ru/vacancy/127772326,hh.ru
Преподаватель программирования Python,АНО ДО Московская школа программистов,,90000.0,RUR,Мытищи (Московская область),https://hh.ru/vacancy/127602816,hh.ru
Разработчик Python (Django),Shtab,,150000.0,RUR,Санкт-Петербург,https://hh.ru/vacancy/128013173,hh.ru
Senior Python Developer,Деньги Вперед,350000.0,450000.0,RUR,Москва,https://hh.ru/vacancy/127838982,hh.ru
Python-разработчик (Junior),Веза,120000.0,,RUR,Москва,https://hh.ru/vacancy/127837488,hh.ru
Python-разработчик,Сеть магазинов полезного питания DFS,90000.0,120000.0,RUR,Омск,https://hh.ru/vacancy/128486108,hh.ru
Инженер-программист (Python / API / нейросети),ПрофТех,120000.0,150000.0,RUR,Тольятти,https://hh.ru/vacancy/127625605,hh.ru
Ведущий Backend Разработчик Python\Django,Подумай и Возьми,200000.0,300000.0,RUR,Новосибирск,https://hh.ru/vacancy/127623615,hh.ru
"Python-разработчик (Браузерная автоматизация, Junior+/Middle)",Инфосфера,130000.0,180000.0,RUR,Москва,https://hh.ru/vacancy/127888236,hh.ru
Tech Lead / Руководитель команды разработки (Python),METASCAN,,400000.0,RUR,Москва,https://hh.ru/vacancy/128052544,hh.ru
Python-разработчик в экосистему Telegram-ботов,ЮРАЛС ПРО,70000.0,70000.0,RUR,Екатеринбург,https://hh.ru/vacancy/127462115,hh.ru
"Преподаватель компьютерных курсов для взрослых (Python, MS SQL, Java, Unity, HTML & CSS), г. Колпино",Компьютерная академия TOP (Компьютерная Академия ТОП),120000.0,,RUR,Колпино,https://hh.ru/vacancy/128530541,hh.ru
Python-разработчик (фитнес-клуб),Поколение,80000.0,,RUR,Москва,https://hh.ru/vacancy/127957890,hh.ru
Python-разработчик,YLAB Development,200000.0,300000.0,RUR,Москва,https://hh.ru/vacancy/128446691,hh.ru
Senior Fullstack разработчик Python/Vue (гибрид МСК),Тх Решения,300000.0,,RUR,Москва,https://hh.ru/vacancy/128160919,hh.ru
Python-разработчик,Тензор,100000.0,250000.0,RUR,Екатеринбург,https://hh.ru/vacancy/128433930,hh.ru
Backend разработчик/тестировщик Python (FastAPI),Базанихина Анастасия Владимировна,100000.0,,RUR,Москва,https://hh.ru/vacancy/128022344,hh.ru
Senior/Lead Full-Stack (React Native + Python/DRF),SDP Market,250000.0,300000.0,RUR,Москва,https://hh.ru/vacancy/127491703,hh.ru
Python-разработчик,Синьор Софт,180000.0,240000.0,RUR,Рязань,https://hh.ru/vacancy/128423864,hh.ru
Python Developer (Fast API / FinTech Project),Сальников Станислав Сергеевич,3000.0,5000.0,USD,Санкт-Петербург,https://hh.ru/vacancy/127847625,hh.ru
Senior Python-разработчик,Агентство HRV,250000.0,450000.0,RUR,Екатеринбург,https://hh.ru/vacancy/127382775,hh.ru
Python разработчик,Тензор,100000.0,250000.0,RUR,Новосибирск,https://hh.ru/vacancy/127508230,hh.ru
